missing_frac,seed,method,rmse,lambda,time,error
0.6,0,lowrank_cv,0.8002241253852844,14.717402079132897,14.241963312961161,
0.6,0,iso_auto,0.840100884437561,22.384126663208008,3.5826089987531304,
0.6,0,iso_grid,0.8764751553535461,33.999107360839844,11.818662023171782,
0.6,0,iso_cv,0.8437413573265076,14.717402079132897,41.91684857197106,
0.6,0,iso_grid_loo,0.8764751553535461,33.999107360839844,11.819107205606997,
0.6,0,iso_grid_renyi,0.8430429697036743,14.717402458190918,11.910652223974466,
0.6,0,iso_grid_is,0.8430429697036743,14.717402458190918,11.875342710874975,
0.6,0,iso_adaptive,0.8376120328903198,18.18749685812164,13.715354611165822,
0.6,1,proximal_cv,0.4893568158149719,14.689003944396973,42.402206813916564,
0.6,1,matlap_auto,0.8352892994880676,22.78587532043457,1.6121967397630215,
0.6,1,matlap_grid,0.8700850009918213,33.933502197265625,7.5041425209492445,
0.6,1,lowrank_auto,1.013743281364441,452.498291015625,1.6734027108177543,
0.6,1,lowrank_grid,0.7887086868286133,14.689003944396973,3.82364025618881,
0.6,1,lowrank_cv,0.7893123030662537,14.689003510266167,14.3187952125445,
0.6,1,iso_auto,0.8360047340393066,22.737823486328125,3.5184453213587403,
0.6,1,iso_grid,0.8701799511909485,33.933502197265625,11.76142055541277,
0.6,1,iso_cv,0.8390355706214905,14.689003510266167,42.51615551300347,
0.6,1,iso_grid_loo,0.8701799511909485,33.933502197265625,11.764024903997779,
0.6,1,iso_grid_renyi,0.8384249210357666,14.689003944396973,11.768669676966965,
0.6,1,iso_grid_is,0.8384249210357666,14.689003944396973,11.845789479091763,
0.6,1,iso_adaptive,0.8337118029594421,18.152401937823996,13.720376853831112,
0.6,2,proximal_cv,0.4990839958190918,14.753989219665527,44.8569310316816,
0.6,2,matlap_auto,0.8314105868339539,22.76460838317871,1.5472373366355896,
0.6,2,matlap_grid,0.8665184378623962,34.0836296081543,8.260267085395753,
0.6,2,lowrank_auto,1.009232521057129,453.80279541015625,1.6744699738919735,
0.6,2,lowrank_grid,0.7974198460578918,14.753989219665527,3.912594852037728,
0.6,2,lowrank_cv,0.7980666756629944,14.753988922938003,13.76001006923616,
0.6,2,iso_auto,0.8325198888778687,22.7550048828125,3.786951422691345,
0.6,2,iso_grid,0.8671177625656128,34.0836296081543,11.926986335776746,
0.6,2,iso_cv,0.8342829346656799,14.753988922938003,42.08048143982887,
0.6,2,iso_grid_loo,0.8671177625656128,34.0836296081543,11.854619697667658,
0.6,2,iso_grid_renyi,0.8336236476898193,14.753989219665527,11.906742650084198,
0.6,2,iso_grid_is,0.8336236476898193,14.753989219665527,11.85189266037196,
0.6,2,iso_adaptive,0.8295943737030029,18.232709654823726,13.649504669941962,
0.9,0,proximal_cv,0.8968824744224548,6.347458839416504,40.01143901515752,
0.9,0,matlap_auto,1.0388926267623901,20.812761306762695,0.8777865264564753,
0.9,0,matlap_grid,1.0388762950897217,14.663454055786133,7.594339415431023,
0.9,0,lowrank_auto,1.042177677154541,499.4945373535156,0.07078011333942413,
0.9,0,lowrank_grid,1.0332343578338623,14.663454055786133,4.6903807846829295,
0.9,0,lowrank_cv,1.0338609218597412,33.874479627052914,14.126772746443748,
0.9,0,iso_auto,1.0391873121261597,13.79928970336914,4.569161950610578,
0.9,0,iso_grid,1.0389825105667114,14.663454055786133,11.515122794546187,
0.9,0,iso_cv,1.038977861404419,14.663453582642363,41.86367303784937,
