embedding,cell_type,factor,mean_z_usage,n_cells
atlas SP,Intestinal epithelial cell,F17,0.1819574534893036,3016
atlas SP,Intestinal epithelial cell,F18,0.036619193851947784,3016
atlas SP,Intestinal epithelial cell,F19,-0.06760993599891663,3016
atlas SP,Intestinal epithelial cell,F20,0.029966870322823524,3016
atlas SP,T cell precursor,F1,-0.5712460279464722,3002
atlas SP,T cell precursor,F2,-0.42318350076675415,3002
atlas SP,T cell precursor,F3,-0.6108288168907166,3002
atlas SP,T cell precursor,F4,-0.310747355222702,3002
atlas SP,T cell precursor,F5,-0.34480491280555725,3002
atlas SP,T cell precursor,F6,-0.16868548095226288,3002
atlas SP,T cell precursor,F7,-0.17402979731559753,3002
atlas SP,T cell precursor,F8,-0.44471365213394165,3002
atlas SP,T cell precursor,F9,0.3107955753803253,3002
atlas SP,T cell precursor,F10,-0.46244174242019653,3002
atlas SP,T cell precursor,F11,-0.13951940834522247,3002
atlas SP,T cell precursor,F12,-0.06157977133989334,3002
atlas SP,T cell precursor,F13,1.51978600025177,3002
atlas SP,T cell precursor,F14,-0.2819104790687561,3002
atlas SP,T cell precursor,F15,-0.10513333231210709,3002
atlas SP,T cell precursor,F16,0.08691515028476715,3002
atlas SP,T cell precursor,F17,0.04771194979548454,3002
atlas SP,T cell precursor,F18,-0.14242611825466156,3002
atlas SP,T cell precursor,F19,-0.3061276376247406,3002
atlas SP,T cell precursor,F20,-0.05597667023539543,3002
atlas SP,Granulocyte,F1,-0.5642863512039185,2860
atlas SP,Granulocyte,F2,-0.3954435884952545,2860
atlas SP,Granulocyte,F3,-0.5995723009109497,2860
atlas SP,Granulocyte,F4,-0.29804661870002747,2860
atlas SP,Granulocyte,F5,-0.3244742155075073,2860
atlas SP,Granulocyte,F6,0.18860070407390594,2860
atlas SP,Granulocyte,F7,-0.17240503430366516,2860
atlas SP,Granulocyte,F8,-0.374931663274765,2860
atlas SP,Granulocyte,F9,0.09359770268201828,2860
atlas SP,Granulocyte,F10,-0.46226927638053894,2860
atlas SP,Granulocyte,F11,-0.08756931871175766,2860
atlas SP,Granulocyte,F12,-0.05759390443563461,2860
atlas SP,Granulocyte,F13,1.087709665298462,2860
atlas SP,Granulocyte,F14,-0.252736359834671,2860
atlas SP,Granulocyte,F15,-0.09897968918085098,2860
atlas SP,Granulocyte,F16,0.8699716329574585,2860
atlas SP,Granulocyte,F17,0.4914907217025757,2860
atlas SP,Granulocyte,F18,0.09863769263029099,2860
atlas SP,Granulocyte,F19,-0.17757053673267365,2860
atlas SP,Granulocyte,F20,-0.023743504658341408,2860
